id_unico,año,fuente,disciplina,forma,numero_en_fuente,es_piloto,pagina_pdf,enunciado_pregunta,tiene_imagen_enunciado,imagen_enunciado,imagen_pregunta_completa,alternativa_a_texto,alternativa_a_imagen,alternativa_b_texto,alternativa_b_imagen,alternativa_c_texto,alternativa_c_imagen,alternativa_d_texto,alternativa_d_imagen,alternativa_correcta
PAES_2024_M1_Q11,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,11,False,11,¿Cuál de las siguientes expresiones representa el 20 % del 20 % del 20 % de un número P?,False,,assets/images/2024/PAES_2024_M1_Q11_completa.png,"0,8 % de P",,8000 % de P,,"0,6 % de P",,60 % de P,,A
PAES_2024_M1_Q12,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,12,False,11,¿A qué porcentaje corresponde 25 de 125?,False,,assets/images/2024/PAES_2024_M1_Q12_completa.png,A un 5 %,,A un 20 %,,A un 25 %,,A un 500 %,,B
PAES_2024_M1_Q13,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,13,False,12,"Helena va en segundo básico de un colegio de 1000 estudiantes, de los cuales el 10 % participa en el taller de patinaje. De este taller, el 10 % compite en un torneo y Helena es una de las competidoras. ¿Cuál de los siguientes argumentos es válido?",False,,assets/images/2024/PAES_2024_M1_Q13_completa.png,"90 estudiantes del taller no compiten, porque solo 10 estudiantes son del curso de Helena.",,"Helena es parte del 1% del colegio que compite, porque el 99 % restante no practica patinaje.",,"10 estudiantes compiten en el torneo, porque son el 10 % del total de 100 estudiantes que participan en el taller de patinaje.",,"El 90 % del estudiantado del colegio no practica patinaje, porque no son parte del 10 % que compite en el torneo.",,C
PAES_2024_M1_Q14,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,14,False,13,Una persona recibirá un bono del 20 % de su sueldo mensual por los próximos 6 meses por ser parte de un equipo que cumplió las metas de productividad. La persona calcula que su sueldo mensual normal equivale a recibir $28000 por cada jornada de trabajo. ¿Cuánto dinero tendría que recibir por jornada de trabajo para que este equivalga al nuevo sueldo con bono?,False,,assets/images/2024/PAES_2024_M1_Q14_completa.png,$33600,,$29400,,$28560,,$28020,,A
PAES_2024_M1_Q15,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,15,False,13,"Un comerciante compra planchas de volcanita a $6000 cada una y las vende para obtener un 75 % de ganancia. Luego de un tiempo, decide rebajar el precio de venta de cada plancha de volcanita en un 25 %, obteniendo un nuevo precio de venta. ¿Cuál es el nuevo precio de venta de cada plancha de volcanita?",False,,assets/images/2024/PAES_2024_M1_Q15_completa.png,$7125,,$7875,,$9000,,$9375,,B
PAES_2024_M1_Q16,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,16,False,14,Un hotel tiene 200 habitaciones y para un fin de semana largo tiene reservadas 140 habitaciones. ¿Cuál es el porcentaje de habitaciones que aún están disponibles ese fin de semana?,False,,assets/images/2024/PAES_2024_M1_Q16_completa.png,30 %,,43%,,60 %,,70 %,,A
PAES_2024_M1_Q17,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,17,False,14,2 1 ¿Cuál es el valor de 14 +? -2 5 195,False,,assets/images/2024/PAES_2024_M1_Q17_completa.png,25 4899,,25,,221,,171,,C
PAES_2024_M1_Q18,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,18,False,15,¿Cuál de las siguientes opciones representa al número (888)2? 6 2,False,,assets/images/2024/PAES_2024_M1_Q18_completa.png,26 ·1112 6,,26 ·111 5 2,,25 ·1112 5,,25 ·111,,A
PAES_2024_M1_Q19,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,19,False,15,"Considera el número mtp de tres dígitos, tal que m es el de la centena, t es el de la decena y p es el de la unidad. ¿Cuál de las siguientes expresiones representa a este número? 2 1 0",False,,assets/images/2024/PAES_2024_M1_Q19_completa.png,m ·102 · t ·101 · p ·100 3 2 1,,m ·103 · t ·102 · p ·101 3 2 1,,m ·103 + t ·102 + p ·101 2 1 0,,m ·102 + t ·101 + p ·100,,D
PAES_2024_M1_Q20,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,20,False,16,2 · 26 ¿Cuál es el valor de? 2 1 - 6,False,,assets/images/2024/PAES_2024_M1_Q20_completa.png,2- 6 9,,22 5,,22 1,,2,,C
PAES_2024_M1_Q21,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,21,False,17,()() ¿Cuál es el valor de 5 +1 5 -1?,False,,assets/images/2024/PAES_2024_M1_Q21_completa.png,2,,4,,6,,2 5,,B
PAES_2024_M1_Q22,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,22,False,17,"La cantidad de bacterias de cierto cultivo aumenta en un 20 % cada 40 minutos. Si la cantidad inicial era 250 bacterias, ¿en cuánto aumentó la cantidad de bacterias transcurridas dos horas?",False,,assets/images/2024/PAES_2024_M1_Q22_completa.png,6,,60,,182,,250,,C
PAES_2024_M1_Q23,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,23,False,18,"Los antiguos dispositivos de almacenamiento de datos tenían una capacidad máxima de 1 megabyte y, actualmente, existen dispositivos que almacenan 1 terabyte. 12 Si un terabyte equivale a 10 bytes y un megabyte equivale a 1000000 bytes, ¿cuántas veces cabe el almacenamiento de un dispositivo antiguo en un dispositivo actual? 2",False,,assets/images/2024/PAES_2024_M1_Q23_completa.png,102 5,,105 6,,106 12,,1012,,C
PAES_2024_M1_Q24,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,24,False,18,()2 ¿Cuál de las siguientes expresiones es igual a 2x - 3? 2,False,,assets/images/2024/PAES_2024_M1_Q24_completa.png,2x2 -12x + 9 2,,4x2 - 6x - 9 2,,4x2 -12x + 9 2,,4x2 - 9,,C
PAES_2024_M1_Q25,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,25,False,19,"() (2) A continuación se realiza la multiplicación 3x + 4 · x - 6x + 5, en la cual se comete un error. Paso 1: se aplica distributividad, obteniéndose: () () 2 2 3x · x - 6x + 5 + 4 · x - 6x + 5 Paso 2: se desarrollan las multiplicaciones, obteniéndose: () () 2 2 3x -18x +15 + 4x - 24x + 20 Paso 3: se ordena la expresión por términos semejantes, obteniéndose: 2 2 3x + 4x -18x - 24x +15 + 20 Paso 4: se suman los términos semejantes, obteniéndose: 2 7x - 42x + 35 ¿En cuál de los pasos se cometió el error?",False,,assets/images/2024/PAES_2024_M1_Q25_completa.png,En el Paso 1,,En el Paso 2,,En el Paso 3,,En el Paso 4,,B
PAES_2024_M1_Q26,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,26,False,20,"¿Cuál de las siguientes expresiones representa a “el doble del cubo de un número x, disminuido en un tercio del mismo número”? x ()3",False,,assets/images/2024/PAES_2024_M1_Q26_completa.png,(2x)3 - x 3 1 3,,2x3 - 1 3 (1(3,,2| (x3 - 1 ÷ () 3) x 3,,2x3 - x 3,,D
PAES_2024_M1_Q27,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,27,True,20,()2 ¿Cuál de las siguientes expresiones es igual a -y - 2 y - 2?,False,,assets/images/2024/PAES_2024_M1_Q27_completa.png,-3y - 4 2,,-2y2 - y - 4 2,,-2y2 - y + 8 2,,-2y2 + 7y - 8,,D
PAES_2024_M1_Q28,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,28,False,21,"Una receta indica usar 325 gramos de harina, entre otros ingredientes, para hacer 20 galletas. Si se sigue esa receta, ¿cuál de las siguientes fórmulas permite determinar la cantidad de gramos de harina que se necesitan para hacer n galletas? 325",False,,assets/images/2024/PAES_2024_M1_Q28_completa.png,325 · n 20,,325 ·n,,325 + n 20,,20 · n 325,,A
PAES_2024_M1_Q29,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,29,False,22,"En una tienda de perfumería empacan jabones en cajas. En la figura adjunta se representa la relación entre la cantidad de jabones y la cantidad de cajas que se necesitan para empacar dicha cantidad de jabones. Si esta relación se puede modelar mediante la función f definida por f(x) = 20 · x, ¿qué representa el número 20?",True,assets/images/2024/PAES_2024_M1_Q29_enunciado.png,assets/images/2024/PAES_2024_M1_Q29_completa.png,La constante de proporcionalidad directa.,,La constante de proporcionalidad inversa.,,La cantidad total de jabones.,,La cantidad total de cajas.,,A
PAES_2024_M1_Q30,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,30,False,23,Carmen tiene 13 lápices más que Ariel y entre las dos tienen a lo más 49 lápices. ¿Cuál es la máxima cantidad de lápices que puede tener Ariel?,False,,assets/images/2024/PAES_2024_M1_Q30_completa.png,17,,18,,30,,31,,B
PAES_2024_M1_Q31,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,31,False,24,"En una frutería se llenan cajas de dos tipos. Un tipo de caja, cuando está llena de fruta, pesa M kg y el otro tipo de caja, cuando está llena de fruta, pesa P kg. La capacidad del camión donde se llevarán las cajas no puede superar los 2100 kg. Se sabe que la cantidad de cajas de los dos tipos que se colocarán en el camión es la misma. ¿Cuál de las siguientes inecuaciones permite determinar la cantidad máxima de cajas x de cada tipo que se pueden colocar en el camión?",False,,assets/images/2024/PAES_2024_M1_Q31_completa.png,(M + P)· x ≤ 2100,,M + P + x ≤ 2100,,(M + P)· x < 2100,,(M + P)· 2x < 2100,,A
PAES_2024_M1_Q32,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,32,False,25,"En una oficina de encomiendas se desea enviar cinco regalos idénticos y un frasco de medio kilogramo de miel. Para determinar la masa de estos regalos se colocan en una balanza dos regalos y el frasco de miel y en la otra balanza se colocan tres regalos, como se representa en la figura adjunta. La balanza de la izquierda marca menos que la balanza de la derecha. ¿Cuál de las siguientes afirmaciones es verdadera?",True,assets/images/2024/PAES_2024_M1_Q32_enunciado.png,assets/images/2024/PAES_2024_M1_Q32_completa.png,Cada regalo tiene una masa de 1 00 gramos.,,Cada regalo tiene una masa de 500 gramos.,,Cada regalo tiene una masa mayor que 500 gramos.,,Cada regalo tiene una masa menor que 500 gramos.,,C
PAES_2024_M1_Q33,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,33,False,26,"En la tabla adjunta se indica la temperatura que alcanza cierto líquido en determinado tiempo, a partir de los 0 °C. Temperatura (°C) Tiempo (min) 100 8 50 4 Si la temperatura alcanzada por el líquido es directamente proporcional al tiempo que ha sido calentado, en ese orden, ¿cuál es la constante de proporcionalidad? 2",True,assets/images/2024/PAES_2024_M1_Q33_enunciado.png,assets/images/2024/PAES_2024_M1_Q33_completa.png,25 25,,2,,50,,400,,B
PAES_2024_M1_Q34,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,34,True,27,"Raúl y Teresa arman bolsas de dulces distribuyendo en total 1000 dulces en 300 bolsas y cada uno arma bolsas distintas. Raúl pone tres dulces en cada una y Teresa pone cinco dulces en cada una. Si no sobra ningún dulce, ¿cuántas bolsas armó Raúl?",False,,assets/images/2024/PAES_2024_M1_Q34_completa.png,,,180,,,,50,,A
PAES_2024_M1_Q35,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,35,False,27,"La fábrica de bicicletas “MTB” utiliza aluminio y titanio en la elaboración de dos de sus modelos llamados Sport y Cross Country. La cantidad de estos metales en kg, usados en cada modelo se presenta en la tabla adjunta. Modelo Sport Modelo Cross Country Aluminio (kg) 1 2 Titanio (kg) 3 1 Si la fábrica disponía de 100 kg de aluminio y 80 kg de titanio, y utilizó todo el material, ¿cuántas bicicletas del modelo Cross Country fabricó?",True,assets/images/2024/PAES_2024_M1_Q35_enunciado.png,assets/images/2024/PAES_2024_M1_Q35_completa.png,12,,24,,28,,44,,D
PAES_2024_M1_Q36,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,36,True,28,"En la figura adjunta se presentan las medidas de tres segmentos con los que, para algún valor de x, se puede construir un triángulo rectángulo. (2x + 15) cm x cm (2x + 10) cm ¿Cuál de las siguientes ecuaciones permite calcular el valor de x? 2",True,assets/images/2024/PAES_2024_M1_Q36_enunciado.png,assets/images/2024/PAES_2024_M1_Q36_completa.png,x2 + 20x +125 = 0 2,,7x2 +100x + 325 = 0,,9x +100x + 325 = 0 2,,x - 20x -125 = 0,,D
PAES_2024_M1_Q37,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,37,False,29,"Una compañía de teatro desea aumentar la cantidad de público en sus obras y para esto ofrece un plan mensual en el que hay que pagar un monto fijo de $9000 cada mes, más $1000 por cada entrada, valor que corresponde al 20 % del precio de una entrada sin contratar el plan. Si una persona contrató el plan mensual por 6 meses, ¿cuánto dinero ahorró si compró 18 entradas en esos 6 meses?",False,,assets/images/2024/PAES_2024_M1_Q37_completa.png,$60000,,$45000,,$18000,,$15000,,C
PAES_2024_M1_Q38,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,38,True,30,"Una psicóloga considera la función f definida por f(x) = 30000x como su modelo de cobro por paciente, tal que x es la cantidad de sesiones que tuvo en un mes y () f x es el total mensual que cobra por ellas, en pesos. La psicóloga quiere hacer un ajuste a su modelo de cobro, considerando una tarifa fija inicial y una tarifa por sesión de manera que la primera sesión del mes tenga el mismo valor que en el modelo anterior, pero que el resto de las sesiones del mes tengan un valor de un 20 % más económico que en el modelo anterior. ¿Cuál de las siguientes funciones es el nuevo modelo de cobro de la psicóloga? ()",False,,assets/images/2024/PAES_2024_M1_Q38_completa.png,g(x) = 24000x (),,h(x) = 24000x + 6000 (),,p(x) =18000x +12000 (),,r(x) =12000x +18000,,B
PAES_2024_M1_Q39,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,39,False,31,"En una empresa lechera, el costo, en pesos, de procesar x litros de leche se modela mediante la función f definida por f(x) = 300 x + 500. La empresa encontró una forma de reducir ese costo un 25 %. ¿Cuál de las siguientes funciones modela el nuevo costo, en pesos?",False,,assets/images/2024/PAES_2024_M1_Q39_completa.png,m(x) = 300x + 475,,g(x) = 225x + 500,,h(x) = 225x + 375,,p(x) = 75x + 475,,C
PAES_2024_M1_Q40,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,40,False,31,"Considera la función f definida por f (n) =10 + 25n - 5n 2, tal que n es un número real. () () () () ¿Cuál es el valor de f 1 + f 2 + f 3 + f 4?",False,,assets/images/2024/PAES_2024_M1_Q40_completa.png,120,,140,,195,,440,,B
PAES_2024_M1_Q41,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,41,False,32,"Una empresa está estudiando los efectos de cambiar su forma de producción a una nueva. Con ambas formas de producción, el costo por unidad de producir x unidades se modela a través de una función cuadrática. En el siguiente gráfico se representa el costo de producción por unidad de ambas formas de producción: Costo por unidad Forma de producción antigua Forma de producción nueva 100 Cantidad producida ¿Cuál de las siguientes afirmaciones es verdadera al comparar ambas formas de producción?",True,assets/images/2024/PAES_2024_M1_Q41_enunciado.png,assets/images/2024/PAES_2024_M1_Q41_completa.png,Siempre es más conveniente cambiar a la forma de producción nueva.,,El costo de producir cero productos es igual en ambas formas de producción.,,"Cuando se producen más de cien unidades, la forma de producción antigua genera un menor costo por unidad.",,El menor costo por unidad posible de la forma de producción antigua es menor que el menor costo por unidad posible de la forma de producción nueva.,,C
PAES_2024_M1_Q42,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,42,False,33,"La altura que alcanza el salto de un tipo de grillo puede representarse por medio de la siguiente parábola: Altura (cm) 40 30 20 10 0,5 1 1,5 2 Tiempo (s) ¿Cuál de las siguientes afirmaciones se puede deducir del gráfico?",True,assets/images/2024/PAES_2024_M1_Q42_enunciado.png,assets/images/2024/PAES_2024_M1_Q42_completa.png,"En 0,75 s, el grillo está a 30 cm de altura.",,"En 1 s, el grillo alcanza su mayor altura.",,"Solo a los 1,5 s, el grillo alcanza una altura de 30 cm.",,"A los 3 s, el grillo está bajo tierra.",,B
PAES_2024_M1_Q43,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,43,False,34,"Una empresa necesita realizar un logo compuesto por una letra N y una letra X, con 50 metros lineales de acero. Las dimensiones de las letras se presentan a continuación: ¿Cuántos logos se pueden construir con las medidas anteriores?",True,assets/images/2024/PAES_2024_M1_Q43_enunciado.png,assets/images/2024/PAES_2024_M1_Q43_completa.png,8,,4,,2,,1,,C
PAES_2024_M1_Q44,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,44,False,35,"Una fábrica hace sillas de escritorio de distinto tamaño, las cuales se pueden reclinar hasta en un ángulo de 1 3 5 °, tal como se representa en la figura adjunta. Para cualquier tamaño de silla, ¿cuál de las siguientes fórmulas permite determinar la distancia entre A y B (D A B) A O B de manera que el respaldo quede perpendicular al asiento?",True,assets/images/2024/PAES_2024_M1_Q44_enunciado.png,assets/images/2024/PAES_2024_M1_Q44_completa.png,D A B = A O + B O,,D A B = A O 2 + B O 2 2,,D A B = 2 A O 2 2,,D A B = 2 A O 2 - B O,,B
PAES_2024_M1_Q45,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,45,False,36,"En una tienda tienen distintos tamaños de cajas de regalo de forma cúbica, las que tienen en la cara superior una cinta pegada en su diagonal (de vértice a vértice). Algunas de estas cajas se representan en la figura adjunta. Si la altura de cada caja se representa por h cm, ¿cuál de las siguientes expresiones permite determinar el largo, en cm, de la cinta a usar en cada caja?",True,assets/images/2024/PAES_2024_M1_Q45_enunciado.png,assets/images/2024/PAES_2024_M1_Q45_completa.png,h 2,,2 h,,2h 2,,2h2,,A
PAES_2024_M1_Q46,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,46,False,37,"Se tiene una circunferencia P de radio 3 cm. Si el área de una circunferencia Q es un cuarto del área de P, ¿cuál es el radio de Q? 3",False,,assets/images/2024/PAES_2024_M1_Q46_completa.png,cm 4,,6 cm 3,,cm 2,,12 cm,,C
PAES_2024_M1_Q47,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,47,True,38,"Una profesora dejó como tarea hacer un vaso milimetrado de capacidad máxima 3 600 cm, sellando cualquier tubo con forma cilíndrica en su parte inferior, no importando la medida del radio, como se representa en la siguiente figura: Si la profesora dijo que consideren π aproximado a 3 y Axel realizará el trabajo con un tubo con forma cilíndrica de 4 cm de radio, ¿cuánto debe medir de altura el vaso milimetrado de Axel?",True,assets/images/2024/PAES_2024_M1_Q47_enunciado.png,assets/images/2024/PAES_2024_M1_Q47_completa.png,5 cm,,"12,5 cm",,25 cm,,"37,5 cm",,B
PAES_2024_M1_Q48,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,48,False,39,"En la siguiente figura se presentan las medidas, en metros,de las aristas deun edificio con forma de paralelepípedo recto, en términos de x, sin considerar subterráneo ni balcones. 2x 2x 3 2 x ¿Cuál es el área del edificio, considerando solo las superficies laterales y el techo, en metros cuadrados? 2",True,assets/images/2024/PAES_2024_M1_Q48_enunciado.png,assets/images/2024/PAES_2024_M1_Q48_completa.png,32x2 2,,36x2 2,,68x2 2,,512x2,,C
PAES_2024_M1_Q49,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,49,False,40,"() () Considera los vectores en el plano cartesiano F = 2, -1, F = -3, 2, 1 2 F = (a,b) y F = (4,3). 3 4 Si F + F + F + F = (6, 5), ¿cuál es el valor de a y b respectivamente? 1 2 3 4",True,assets/images/2024/PAES_2024_M1_Q49_enunciado.png,assets/images/2024/PAES_2024_M1_Q49_completa.png,3 y 4,,3 y 9,,3 y 1,,4 y 4,,C
PAES_2024_M1_Q50,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,50,False,41,"En la figura adjunta se presentan los puntos A(1,1), B (4, 2) y C (5, -1), y los √ √ √ vectores u, v y w. Y B √ u A √ √ w v X C ¿Cuál de las siguientes condiciones permite asegurar que el triángulo A B C es rectángulo? √ √ √",True,assets/images/2024/PAES_2024_M1_Q50_enunciado.png,assets/images/2024/PAES_2024_M1_Q50_completa.png,Que el vector w√ es la suma de los vectores u√ y v√.,,Que el perímetro del triángulo ABC es igual a 20 + 2 10. √ √,,Que los módulos de los vectores u√ y v√ son iguales. AB· BC,,Que el área del triángulo ABC es igual a AB· BC. 2,,D
PAES_2024_M1_Q51,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,51,False,42,"Considera un punto A, tal que este es cualquier punto que se ubica en el primer o tercer cuadrante, de tal manera que al reflejarlo respecto al eje Y se obtiene el punto B. Si x es la distancia del punto A al eje Y, ¿cuál de las siguientes expresiones permite determinar la distancia entre los puntos A y B?",False,,assets/images/2024/PAES_2024_M1_Q51_completa.png,2x 2,,x,,2x,,3x,,C
PAES_2024_M1_Q52,2024,PAES Regular 2024 (Admisión 2024),Matemática 1 (M1),113,52,False,42,"Una persona lleva a cabo los siguientes pasos para realizar cuatro () transformaciones isométricas consecutivas al punto -5, 5, cometiendo un error. () () Paso 1: el punto -5, 5 se traslada según el vector 5,-2, obteniendo el punto () 0, 7. () Paso 2: el punto 0, 7 se rota en 90° con centro en el origen del plano cartesiano () y en sentido horario, obteniendo el punto 7, 0. () Paso 3: el punto 7, 0 se refleja con respecto al eje Y, obteniendo el punto () -7, 0. () Paso 4: el punto -7, 0 se refleja con respecto al eje X, obteniendo el punto () -7, 0. ¿En cuál de los pasos se cometió el error?",False,,assets/images/2024/PAES_2024_M1_Q52_completa.png,En el Paso 1,,En el Paso 2,,En el Paso 3,,En el Paso 4,,A
